No.,1외향-내향성,2부정 정서성,5인상관리,5긍정반응편향,5부정반응편향
23,53.5,57.0,64.9,47.6,55.1
24,27.2,65.6,52.2,41.2,62.2
25,71.8,38.6,45.9,57.1,50.3
26,43.2,49.7,61.7,47.6,50.3
27,32.9,62.0,49.0,41.2,36.0
28,61.5,21.4,39.5,69.7,43.1
29,58.1,58.3,55.4,47.6,33.6
30,53.5,43.5,58.5,50.7,38.3
31,30.6,65.6,68.0,41.2,38.3
32,31.8,48.4,55.4,44.4,47.9
33,55.8,38.6,49.0,47.6,38.3
34,51.2,52.1,52.2,44.4,55.1
35,43.2,32.5,26.8,41.2,31.2
36,47.8,39.9,36.4,57.1,47.9
37,44.4,53.4,36.4,50.7,45.5
38,59.3,53.4,61.7,44.4,40.7
39,40.9,58.3,45.9,47.6,52.7
40,58.1,46.0,52.2,57.1,38.3
41,37.5,50.9,49.0,38.1,52.7
42,49.0,42.3,58.5,57.1,38.3
43,49.0,48.4,52.2,47.6,38.3
44,45.5,43.5,49.0,41.2,38.3
45,54.7,39.9,52.2,53.9,52.7
46,38.7,50.9,61.7,41.2,57.5
47,58.1,34.9,55.4,41.2,43.1
48,36.4,42.3,61.7,53.9,31.2
49,73.0,30.0,55.4,44.4,38.3
50,40.9,52.1,71.2,25.4,47.9
51,46.7,57.0,58.5,53.9,38.3
52,47.8,55.8,52.2,50.7,52.7
53,53.5,41.1,58.5,53.9,55.1
54,46.7,42.3,64.9,28.6,38.3
55,61.5,43.5,52.2,57.1,45.5
56,55.8,54.6,61.7,47.6,47.9
57,55.8,38.6,39.5,53.9,45.5
58,39.8,53.4,58.5,47.6,36.0
59,32.9,50.9,58.5,38.1,52.7
60,28.4,58.3,58.5,34.9,40.7
61,28.4,62.0,52.2,41.2,43.1
62,54.7,25.1,55.4,57.1,43.1
63,63.8,42.3,61.7,60.2,47.9
64,30.6,64.4,74.4,34.9,59.9
65,37.5,50.9,49.0,38.1,52.7
66,53.5,30.0,42.7,38.1,40.7
67,58.1,48.4,49.0,69.7,45.5
68,45.5,42.3,39.5,34.9,31.2
69,60.4,39.9,49.0,60.2,45.5
70,68.4,55.8,61.7,38.1,40.7
71,26.1,58.3,58.5,31.7,40.7
72,34.1,55.8,52.2,41.2,38.3
73,60.4,46.0,45.9,47.6,40.7
74,43.2,48.4,45.9,44.4,38.3
75,49.0,49.7,55.4,57.1,43.1
76,51.2,49.7,52.2,60.2,55.1
77,38.7,64.4,61.7,47.6,47.9
78,44.4,52.1,49.0,63.4,57.5
79,36.4,59.5,58.5,41.2,36.0
